id,name,party,partyLabel,votes,election,electionLabel,ranking
Q17057181,Karin Smyth,Q9630,Labour Party (UK),27895,Q30173038,General election 2019,1
,Richard Morgan,Q9626,Conservative Party (UK),18036,Q30173038,General election 2019,2
,Andrew Brown,Q9624,Liberal Democrats (UK),4227,Q30173038,General election 2019,3
,Tony Dyer,Q9669,Green Party of England and Wales,2713,Q30173038,General election 2019,4
,Robert de Vito Boutin,Q61651140,Brexit Party,2325,Q30173038,General election 2019,5
Q17057181,Karin Smyth,Q9630,Labour Party (UK),32666,Q25052149,General election 2017,1
,Mark Weston,Q9626,Conservative Party (UK),16679,Q25052149,General election 2017,2
,Ben Nutland,Q9624,Liberal Democrats (UK),1821,Q25052149,General election 2017,3
,Ian Kealey,Q10647,UK Independence Party,1672,Q25052149,General election 2017,4
,Tony Dyer,Q9669,Green Party of England and Wales,1428,Q25052149,General election 2017,5
,John Langley,Q327591,Independent politician,116,Q25052149,General election 2017,6
Q17057181,Karin Smyth,Q9630,Labour Party (UK),19505,Q3586935,General election 2015,1
,Isobel Grant,Q9626,Conservative Party (UK),12377,Q3586935,General election 2015,2
,Steve Wood,Q10647,UK Independence Party,8381,Q3586935,General election 2015,3
,Tony Dyer,Q9669,Green Party of England and Wales,5861,Q3586935,General election 2015,4
Q6770443,Mark Wright,Q9624,Liberal Democrats (UK),4416,Q3586935,General election 2015,5
,Tom Baldwin,Q980923,Trade Unionist and Socialist Coalition,302,Q3586935,General election 2015,6
Q575217,Dawn Primarolo,Q9630,Labour Party (UK),18600,Q215622,General election 2010,1
Q6770443,Mark Wright,Q9624,Liberal Democrats (UK),13866,Q215622,General election 2010,2
,Mark Lloyd Davies,Q9626,Conservative Party (UK),11086,Q215622,General election 2010,3
,Colin Chidsey,Q161269,British National Party,1739,Q215622,General election 2010,4
,Colin McNamee,Q10647,UK Independence Party,1264,Q215622,General election 2010,5
,Charles Bolton,Q9669,Green Party of England and Wales,1216,Q215622,General election 2010,6
,Craig Clarke,Q2479228,English Democrats,400,Q215622,General election 2010,7
,Tom Baldwin,Q980923,Trade Unionist and Socialist Coalition,206,Q215622,General election 2010,8
Q575217,Dawn Primarolo,Q9630,Labour Party (UK),20778,Q428598,General election 2005,1
,Kay Barnard,Q9624,Liberal Democrats (UK),9636,Q428598,General election 2005,2
,Graham Hill,Q9626,Conservative Party (UK),8466,Q428598,General election 2005,3
,Charlie Bolton,Q9669,Green Party of England and Wales,2127,Q428598,General election 2005,4
,Mark Dent,Q10647,UK Independence Party,1321,Q428598,General election 2005,5
Q575217,Dawn Primarolo,Q9630,Labour Party (UK),23299,Q590740,General election 2001,1
,Richard Eddy,Q9626,Conservative Party (UK),9118,Q590740,General election 2001,2
,James Main,Q9624,Liberal Democrats (UK),6078,Q590740,General election 2001,3
,Glenn Vowles,Q9669,Green Party of England and Wales,1233,Q590740,General election 2001,4
,Brian Drummond,Q7551508,Socialist Alliance (England),496,Q590740,General election 2001,5
,Chris Prasad,Q10647,UK Independence Party,496,Q590740,General election 2001,6
,Giles Shorter,Q3491460,Socialist Labour Party (UK),250,Q590740,General election 2001,7
Q575217,Dawn Primarolo,Q9630,Labour Party (UK),29890,Q918503,General election 1997,1
,Michael Roe,Q9626,Conservative Party (UK),10562,Q918503,General election 1997,2
Q266548,Stephen Williams,Q9624,Liberal Democrats (UK),6691,Q918503,General election 1997,3
,Derek W. Guy,Q278315,Referendum Party,1486,Q918503,General election 1997,4
,John H. Boxall,Q9669,Green Party of England and Wales,722,Q918503,General election 1997,5
,Ian P. Marshall,Q367894,Socialist Party (England and Wales),355,Q918503,General election 1997,6
